guild_id,user_id,channel_id,joined_at,left_at,duration_seconds
1399126688943570974,499625557831581710,1427743564174987315,2025-12-18T19:08:44.485901+00:00,2025-12-18T19:13:24.229699+00:00,279
1399126688943570974,175482097803329546,1427743564174987315,2025-12-18T19:11:38.044324+00:00,2025-12-18T19:13:42.142178+00:00,124
1399126688943570974,499625557831581710,1427743564174987315,2025-12-18T19:14:05.876849+00:00,2025-12-18T19:29:19.651142+00:00,913
1399126688943570974,624672166515834901,1427743564174987315,2025-12-18T19:41:27.923230+00:00,2025-12-18T20:07:59.374340+00:00,1591
1399126688943570974,624672166515834901,1427743564174987315,2025-12-18T20:08:01.706601+00:00,2025-12-18T20:08:07.786422+00:00,6
1415307993532072016,1316778370494759003,1415333924850241536,2025-12-18T20:04:31.533150+00:00,2025-12-18T20:10:40.798705+00:00,369
1415307993532072016,1332092937978515537,1415333924850241536,2025-12-18T20:00:11.442460+00:00,2025-12-18T20:16:33.814496+00:00,982
1415307993532072016,1384896403796660297,1415333924850241536,2025-12-18T20:08:57.116099+00:00,2025-12-18T20:20:38.029551+00:00,700
1415307993532072016,1384896403796660297,1415333924850241536,2025-12-18T20:22:22.023303+00:00,2025-12-18T20:24:53.229407+00:00,151
1399126688943570974,175482097803329546,1427743564174987315,2025-12-18T19:16:59.556384+00:00,2025-12-18T20:25:59.302314+00:00,4139
1399126688943570974,624672166515834901,1427743564174987315,2025-12-18T20:08:19.823272+00:00,2025-12-18T20:26:00.788827+00:00,1060
1415307993532072016,1384896403796660297,1415333924850241536,2025-12-18T20:24:58.234290+00:00,2025-12-18T20:27:47.861516+00:00,169
1399126688943570974,1396229905368481862,1399493915131904123,2025-12-18T20:35:41.434087+00:00,2025-12-18T20:35:47.323288+00:00,5
1399126688943570974,499625557831581710,1427743564174987315,2025-12-18T20:21:58.389537+00:00,2025-12-18T20:49:17.138446+00:00,1638
1399126688943570974,869066434133770251,1427743564174987315,2025-12-18T19:26:59.879999+00:00,2025-12-18T20:49:22.768107+00:00,4942
1415307993532072016,1125636123532742696,1415333924850241536,2025-12-18T20:16:05.737087+00:00,2025-12-18T20:55:25.513652+00:00,2359
1415307993532072016,1332092937978515537,1415333924850241536,2025-12-18T20:16:34.856961+00:00,2025-12-18T21:49:14.040851+00:00,5559
1415307993532072016,461240029340237824,1415333924850241536,2025-12-18T19:57:07.113178+00:00,2025-12-18T22:30:41.446753+00:00,9214
1415307993532072016,1316778370494759003,1415333924850241536,2025-12-18T20:29:01.689470+00:00,2025-12-18T22:30:41.448766+00:00,7299
1399126688943570974,836409052934176798,1427732690664161332,2025-12-19T01:06:13.376289+00:00,2025-12-19T01:14:00.518251+00:00,467
1399126688943570974,962835349250375710,1427732690664161332,2025-12-18T22:51:18.325276+00:00,2025-12-19T01:25:59.871790+00:00,9281
1399126688943570974,355893293772570625,1399493915131904123,2025-12-19T05:54:43.347803+00:00,2025-12-19T06:06:32.666761+00:00,709
1399126688943570974,355893293772570625,1399493915131904123,2025-12-19T06:06:39.329607+00:00,2025-12-19T06:16:44.924096+00:00,605
1399126688943570974,175482097803329546,1399493915131904123,2025-12-19T06:02:41.011811+00:00,2025-12-19T06:17:42.500491+00:00,901
1399126688943570974,461240029340237824,1399493915131904123,2025-12-19T05:54:30.818288+00:00,2025-12-19T06:18:36.010184+00:00,1445
1399126688943570974,355893293772570625,1399493915131904123,2025-12-19T06:16:50.833789+00:00,2025-12-19T06:22:56.688126+00:00,365
